src_ip,dst_ip,src_port,dst_port,protocol,packet_size,timestamp,flow_duration,packet_rate
19,8,443,58093,0,-0.6461839559398123,2025-06-18 11:54:59.081789017,-0.6810545310394357,-0.38441658046686983
19,8,443,58093,0,-0.5578244594612406,2025-06-18 11:54:59.106384993,-0.6810545310394357,-0.38441658046686983
9,17,58093,443,0,-0.6161235086842157,2025-06-18 11:54:59.108000040,-0.6757692412650436,-0.38525658992447115
9,17,58093,443,0,-0.6161235086842157,2025-06-18 11:54:59.445168018,-0.6757692412650436,-0.38525658992447115
19,8,443,58093,0,-0.6461839559398123,2025-06-18 11:54:59.476762056,-0.6810545310394357,-0.38441658046686983
19,8,443,58093,0,-0.6370747294987223,2025-06-18 11:54:59.597878933,-0.6810545310394357,-0.38441658046686983
9,12,58147,443,0,-0.6370747294987223,2025-06-18 11:55:01.680701971,-0.6135817418720922,-0.34175413436857394
16,8,443,58147,0,-0.6370747294987223,2025-06-18 11:55:01.833209991,-0.6060673740514156,-0.34372122724722454
9,12,58147,443,0,-0.6480058012280302,2025-06-18 11:55:01.833359957,-0.6135817418720922,-0.34175413436857394
9,12,58147,443,0,-0.1770587942236847,2025-06-18 11:55:01.833911896,-0.6135817418720922,-0.34175413436857394
9,7,58146,7680,0,-0.6370747294987223,2025-06-18 11:55:01.990772009,2.2395679926876717,-0.419370680945432
16,8,443,58147,0,-0.5578244594612406,2025-06-18 11:55:02.024734020,-0.6060673740514156,-0.34372122724722454
9,12,58147,443,0,-0.3401139475191931,2025-06-18 11:55:02.027363062,-0.6135817418720922,-0.34175413436857394
16,8,443,58147,0,0.6746538780182167,2025-06-18 11:55:02.186471939,-0.6060673740514156,-0.34372122724722454
16,8,443,58147,0,0.6746538780182167,2025-06-18 11:55:02.186471939,-0.6060673740514156,-0.34372122724722454
9,12,58147,443,0,-0.6480058012280302,2025-06-18 11:55:02.186568975,-0.6135817418720922,-0.34175413436857394
16,8,443,58147,0,0.6746538780182167,2025-06-18 11:55:02.187541008,-0.6060673740514156,-0.34372122724722454
16,8,443,58147,0,-0.6015487463784719,2025-06-18 11:55:02.187541008,-0.6060673740514156,-0.34372122724722454
9,12,58147,443,0,-0.6480058012280302,2025-06-18 11:55:02.187589884,-0.6135817418720922,-0.34175413436857394
9,12,58147,443,0,-0.06774807693060644,2025-06-18 11:55:02.188282967,-0.6135817418720922,-0.34175413436857394
16,8,443,58147,0,-0.5541807688848047,2025-06-18 11:55:02.345094919,-0.6060673740514156,-0.34372122724722454
16,8,443,58147,0,-0.26086367748171135,2025-06-18 11:55:02.345443964,-0.6060673740514156,-0.34372122724722454
9,12,58147,443,0,-0.6480058012280302,2025-06-18 11:55:02.345520020,-0.6135817418720922,-0.34175413436857394
16,8,443,58147,0,-0.6234108898370876,2025-06-18 11:55:02.345731020,-0.6060673740514156,-0.34372122724722454
9,12,58147,443,0,-0.6480058012280302,2025-06-18 11:55:02.345803022,-0.6135817418720922,-0.34175413436857394
9,12,58147,443,0,-0.6261436577694145,2025-06-18 11:55:02.346504927,-0.6135817418720922,-0.34175413436857394
9,12,58147,443,0,-0.6480058012280302,2025-06-18 11:55:02.346806049,-0.6135817418720922,-0.34175413436857394
16,8,443,58147,0,-0.6480058012280302,2025-06-18 11:55:02.516021013,-0.6060673740514156,-0.34372122724722454
16,8,443,58147,0,-0.6480058012280302,2025-06-18 11:55:02.516021013,-0.6060673740514156,-0.34372122724722454
9,18,58049,443,0,-0.6470948785839212,2025-06-18 11:55:03.726659060,-0.9131777473083761,-0.42214873875980424
20,8,443,58049,0,-0.6370747294987223,2025-06-18 11:55:03.870428085,-0.9131777473083761,-0.42214873875980424
10,13,5353,5353,1,-0.5860630614286192,2025-06-18 11:55:04.090796947,0.8832338214146881,-0.41849206978195813
10,13,5353,5353,1,-0.46308850447390615,2025-06-18 11:55:05.115216017,0.8832338214146881,-0.41849206978195813
15,8,443,58114,0,-0.6088361275313439,2025-06-18 11:55:06.688983917,-0.027970195593856967,0.06267200888889786
15,8,443,58114,0,-0.6224999671929786,2025-06-18 11:55:06.688983917,-0.027970195593856967,0.06267200888889786
